"company_name","issue_type","last_month","last_week","last_day"
Ace Electric,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,
AgriVision Equipment Group LLC,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,2,
Aldridge Group,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,9,2
Aldridge Group,ACCOUNT__VERIZON__INVOICE_SUMMARY,38,9,2
American Implement,ACCOUNT__VERIZON__INVOICE_SUMMARY,15,15,4
American Pest Management,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Apollo Mechanical,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,8,,
"Atlantic Lift Truck, Inc.",ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,3,3,
BAYADA Home Health Care,ACCOUNT__VERIZON__INVOICE_SUMMARY,20,20,6
Beard Equipment Company,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,2,
Belkorp Ag,ACCOUNT__VERIZON__INVOICE_SUMMARY,15,15,4
Berry Companies - Bobcat,Login Issue,1,1,
Blanchard Machinery Company (CAT),ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,32,104,24
Blanchard Machinery Company (CAT),ACCOUNT__VERIZON__INVOICE_SUMMARY,124,104,24
Blanchard Machinery Company (CAT),ACCOUNT__VERIZON__SUB_ACCOUNT_PAYMENT_SETUP,224,104,24
Bobcat of North Texas,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,
Bobcat Of The Rockies,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,5,5,
Bouten Construction,ACCOUNT__VERIZON__INVOICE_SUMMARY,8,8,5
Bowen Engineering,ACCOUNT__VERIZON__INVOICE_SUMMARY,17,17,4
Boyne Mountain Resort,Login Issue,1,,
"Bramco, Inc.",ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,1
Brandenburg Industrial Service,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,1
Carolina Tractor (CAT),ACCOUNT__VERIZON__INVOICE_SUMMARY,21,21,6
CCMC (Capital Consultants Management Corporation),ACCOUNT__VERIZON__INVOICE_SUMMARY,8,8,5
CohnReznick LLP,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,3,,
Community Services Group,ACCOUNT__VERIZON__INVOICE_SUMMARY,2,2,2
Concordia Lutheran Ministries (Concordia Health and Human Care),ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Concordia Lutheran Ministries (Concordia Visiting Nurses/HomeCARE),ACCOUNT__VERIZON__INVOICE_SUMMARY,42,42,13
Cotton Holdings Inc,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,6,40,16
Cotton Holdings Inc,ACCOUNT__VERIZON__INVOICE_SUMMARY,90,40,16
Cypress Creek Renewables,ACCOUNT__VERIZON__INVOICE_SUMMARY,33,33,8
Doster Construction Company,ACCOUNT__VERIZON__INVOICE_SUMMARY,11,11,5
Dudek,Login Issue,1,,
Dura-Line,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
"Eldeco, Inc.",ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Enova Group LLC,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,
Foley Equipment- Kansas(CAT),ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,5,5,
Foley Inc (CAT),ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,,
Fox Pest Control,Login Issue,1,,
General Equipment & Supplies,ACCOUNT__VERIZON__INVOICE_SUMMARY,2,2,2
"GLY Construction, Inc.",ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,21,4
"GLY Construction, Inc.",ACCOUNT__VERIZON__INVOICE_SUMMARY,30,21,4
Goodnight Midstream LLC,ACCOUNT__VERIZON__INVOICE_SUMMARY,17,17,4
Guarantee Electrical Company,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,
Guarantee Electrical Company,ACCOUNT__VERIZON__INVOICE_SUMMARY,16,16,4
Heath Consultants Inc,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,1
Hensel Phelps,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,2,2,
Industrial Construction Specialists,Login Issue,1,,
JRM Construction Management LLC M2M,Login Issue,1,,
Kansas City Bobcat,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,
Live! Casino & Hotel Philadelphia,ACCOUNT__VERIZON__INVOICE_SUMMARY,16,16,4
LPR Construction,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,
Manganaro,Login Issue,1,,
Milton CAT,ACCOUNT__VERIZON__INVOICE_SUMMARY,80,94,22
Milton CAT,ACCOUNT__VERIZON__SUB_ACCOUNT_PAYMENT_SETUP,220,74,16
Mungo Homes,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,4
Mungo Homes,ACCOUNT__VERIZON__INVOICE_SUMMARY,4,4,4
Mycon,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,3,3,
Netafim USA,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,1,
Perdue Farms Inc.,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Piedmont Service Group,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,1
Polk,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,,
Polsinelli,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,6,,
Power Component Systems,ACCOUNT__VERIZON__INVOICE_SUMMARY,17,17,4
RMA Worldwide / ERRANDS PLUS INC,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,4,4,
Rockford Construction,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,1,,
Royal Farms,ACCOUNT__VERIZON__BILLING_ACCOUNTS_GENERAL,3,3,
